Date,Weekly New England (PADD 1A) Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Central Atlantic (PADD 1B) Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Lower Atlantic (PADD 1C) Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Midwest Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Gulf Coast Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Rocky Mountain Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly West Coast Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly West Coast (PADD 5) Except California Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon)
2018-01-01,2.533,2.615,2.388,2.453,2.238,2.437,2.975,2.678
2018-01-01,2.557,2.639,2.379,2.428,2.242,2.441,3.011,2.687
2018-01-01,2.553,2.653,2.405,2.507,2.276,2.455,3.011,2.692
2018-01-01,2.573,2.679,2.459,2.469,2.309,2.472,3.024,2.704
2018-01-01,2.606,2.723,2.48,2.51,2.347,2.483,3.088,2.729
2018-01-01,2.638,2.743,2.51,2.535,2.368,2.496,3.145,2.756
2018-01-01,2.641,2.724,2.508,2.463,2.331,2.51,3.142,2.768
2018-01-01,2.603,2.693,2.446,2.39,2.276,2.486,3.13,2.752
2018-01-01,2.582,2.664,2.414,2.405,2.25,2.454,3.136,2.751
2018-01-01,2.565,2.647,2.44,2.428,2.278,2.437,3.141,2.77
2018-01-01,2.554,2.63,2.404,2.439,2.274,2.423,3.17,2.787
2018-01-01,2.556,2.628,2.462,2.495,2.304,2.443,3.215,2.842
2018-01-01,2.587,2.698,2.514,2.515,2.381,2.528,3.274,2.906
2018-01-01,2.638,2.744,2.577,2.565,2.428,2.599,3.327,2.958
2018-01-01,2.642,2.744,2.558,2.55,2.423,2.639,3.33,2.998
2018-01-01,2.691,2.795,2.606,2.602,2.496,2.734,3.367,3.047
2018-01-01,2.759,2.862,2.665,2.657,2.546,2.772,3.391,3.088
2018-01-01,2.812,2.91,2.692,2.724,2.589,2.803,3.432,3.128
2018-01-01,2.836,2.917,2.685,2.697,2.589,2.821,3.464,3.173
2018-01-01,2.874,2.944,2.726,2.782,2.613,2.922,3.405,3.166
2018-01-01,2.945,2.997,2.751,2.851,2.676,2.968,3.435,3.208
2018-01-01,2.98,3.027,2.818,2.881,2.721,2.991,3.463,3.248
2018-01-01,2.973,3.0,2.778,2.847,2.725,2.995,3.46,3.25
2018-01-01,2.926,2.98,2.729,2.817,2.696,2.99,3.452,3.246
2018-01-01,2.9,2.938,2.684,2.791,2.654,2.977,3.434,3.238
2018-01-01,2.875,2.904,2.64,2.718,2.615,2.96,3.409,3.219
2018-01-01,2.882,2.909,2.652,2.762,2.604,2.968,3.393,3.206
2018-01-01,2.889,2.928,2.66,2.781,2.619,2.966,3.394,3.201
2018-01-01,2.888,2.932,2.697,2.796,2.602,2.955,3.378,3.185
2018-01-01,2.875,2.907,2.668,2.739,2.573,2.934,3.358,3.165
2018-01-01,2.884,2.923,2.68,2.767,2.593,2.913,3.349,3.156
2018-01-01,2.89,2.93,2.699,2.773,2.59,2.924,3.342,3.146
2018-01-01,2.882,2.927,2.703,2.748,2.586,2.944,3.329,3.132
2018-01-01,2.863,2.91,2.67,2.73,2.568,2.963,3.307,3.118
2018-01-01,2.851,2.903,2.653,2.76,2.569,2.994,3.31,3.11
2018-01-01,2.855,2.909,2.669,2.731,2.549,3.007,3.329,3.123
2018-01-01,2.864,2.928,2.674,2.74,2.572,3.008,3.336,3.128
2018-01-01,2.869,2.929,2.676,2.761,2.561,3.014,3.344,3.127
2018-01-01,2.856,2.906,2.664,2.789,2.559,3.014,3.35,3.131
2018-01-01,2.857,2.905,2.707,2.79,2.593,3.0,3.412,3.149
2018-01-01,2.871,2.937,2.745,2.822,2.626,2.999,3.475,3.187
2018-01-01,2.854,2.914,2.73,2.758,2.627,2.982,3.494,3.235
2018-01-01,2.837,2.888,2.69,2.689,2.582,2.963,3.499,3.241
2018-01-01,2.812,2.853,2.636,2.68,2.523,2.958,3.482,3.231
2018-01-01,2.776,2.805,2.575,2.604,2.455,2.935,3.45,3.208
2018-01-01,2.724,2.74,2.52,2.512,2.387,2.891,3.401,3.174
2018-01-01,2.674,2.681,2.442,2.417,2.308,2.828,3.348,3.127
2018-01-01,2.647,2.645,2.363,2.314,2.216,2.796,3.308,3.1
2018-01-01,2.583,2.585,2.274,2.198,2.123,2.717,3.241,3.045
2018-01-01,2.548,2.552,2.232,2.21,2.074,2.655,3.171,2.987
2018-01-01,2.514,2.512,2.205,2.135,2.031,2.575,3.114,2.92
2018-01-01,2.461,2.46,2.149,2.081,1.981,2.485,3.084,2.877
2018-01-01,2.422,2.42,2.097,2.005,1.926,2.429,3.053,2.851
